,assists,clean_sheets,draws,goals_against,goals_for,id,loses,own_goals,penalties_missed,penalties_saved,points,red_cards,saves,strength_attack_away,strength_attack_home,strength_defence_away,strength_defence_home,team_name,week_no,wins,yellow_cards,ranking
152,1,True,,0.0,1.0,3,,0,0,0,3,0,1,1070,1040,1100,1030,Brighton,8,True,3,13.0
153,0,,,1.0,0.0,19,True,0,0,0,0,0,1,1070,1030,1110,1080,West Ham,8,,2,15.0
154,0,,,4.0,0.0,18,True,0,0,0,0,1,1,1190,1090,1150,1080,Watford,8,,3,9.0
155,2,True,,0.0,4.0,2,,0,0,0,3,0,1,1120,1080,1170,1120,Bournemouth,8,True,1,6.0
156,1,,,2.0,1.0,11,True,0,0,0,0,1,1,1180,1100,1140,1090,Leicester,8,,2,10.0
157,2,,,1.0,2.0,8,,0,0,0,3,0,1,1110,1060,1130,1060,Everton,8,True,1,11.0
158,3,,,2.0,3.0,14,,0,0,0,3,0,1,1300,1260,1310,1280,Man Utd,8,True,2,8.0
159,2,,,3.0,2.0,15,True,0,0,0,0,0,1,1110,1060,1090,1040,Newcastle,8,,2,19.0
160,0,,,1.0,0.0,19,True,0,0,0,0,0,1,1070,1030,1110,1080,West Ham,9,,3,14.0
161,1,True,,0.0,1.0,17,,0,0,0,3,0,1,1300,1280,1330,1310,Spurs,9,True,0,5.0
162,3,,,2.0,4.0,5,,0,0,0,3,0,1,1070,1010,1070,1000,Cardiff,9,True,3,17.0
163,2,,,4.0,2.0,9,True,0,0,0,0,0,1,1060,1010,1090,1040,Fulham,9,,3,18.0
164,2,,True,2.0,2.0,6,,0,0,0,1,0,1,1290,1260,1320,1300,Chelsea,9,,2,3.0
165,1,,True,2.0,2.0,14,,0,0,0,1,0,1,1300,1260,1310,1280,Man Utd,9,,5,10.0
166,3,True,,0.0,5.0,13,,0,0,0,3,0,0,1320,1300,1350,1330,Man City,9,True,2,1.0
167,0,,,5.0,0.0,4,True,0,0,0,0,0,1,1150,1110,1090,1040,Burnley,9,,2,13.0
168,0,True,True,0.0,0.0,2,,0,0,0,1,0,1,1120,1080,1170,1120,Bournemouth,9,,1,6.0
169,0,True,True,0.0,0.0,16,,0,0,0,1,0,1,1080,1030,1120,1070,Southampton,9,,2,16.0
170,0,,,2.0,0.0,20,True,0,0,0,0,0,1,1120,1080,1090,1030,Wolves,9,,3,9.0
171,1,True,,0.0,2.0,18,,0,0,0,3,0,1,1190,1090,1150,1080,Watford,9,True,1,7.0
172,0,,,1.0,0.0,15,True,0,0,0,0,0,1,1110,1060,1090,1040,Newcastle,9,,0,20.0
173,1,True,,0.0,1.0,3,,0,0,0,3,0,1,1070,1040,1100,1030,Brighton,9,True,2,12.0
174,2,True,,0.0,2.0,8,,0,0,1,3,0,1,1110,1060,1130,1060,Everton,9,True,2,8.0
175,0,,,2.0,0.0,7,True,0,1,0,0,0,1,1100,1050,1110,1070,Crystal Palace,9,,1,15.0
176,2,,,1.0,3.0,1,,1,0,0,3,0,1,1280,1230,1320,1270,Arsenal,9,True,2,4.0
177,1,,,3.0,1.0,11,True,0,0,0,0,0,1,1180,1100,1140,1090,Leicester,9,,2,11.0
178,0,,,1.0,0.0,10,True,0,0,0,0,0,1,1060,1020,1020,980,Huddersfield,9,,0,19.0
179,1,True,,0.0,1.0,12,,0,0,0,3,0,1,1320,1290,1340,1320,Liverpool,9,True,2,2.0
